Prix,Année,Auteur,Roman,Maison d'édition
Interallié,1950,Georges Auclair,Un amour allemand,Gallimard
Interallié,1951,Jacques Perret,Bande à part,Gallimard
Interallié,1952,Jean Dutourd,Au bon beurre,Gallimard
Interallié,1953,Louis Chauvet,L'Air sur la quatrième corde,Flammarion
Interallié,1954,Maurice Boissais,Le Goût du péché,Julliard
Interallié,1955,Félicien Marceau,Les Élans du cœur,Gallimard
Interallié,1956,Armand Lanoux,Le Commandant Watrin,Denoël
Interallié,1957,Paul Guimard,Rue du Havre,Denoël
Interallié,1958,Bertrand Poirot-Delpech,Le Grand Dadais,La Table Ronde
Interallié,1959,Antoine Blondin,Un singe en hiver,Denoël
Interallié,1960,Jean Portelle,Janitzia ou la Dernière qui aima d'amour,La Table Ronde
Interallié,1960,Henry Muller,Clem,Gallimard
Interallié,1961,Jean Ferniot,L'Ombre portée,Robert Laffont
Interallié,1962,Henri-François Rey,Les Pianos mécaniques,Gallimard
Interallié,1963,Renée Massip,La Bête quaternaire,Denoël
Interallié,1964,René Fallet,Paris au mois d'août,Grasset
Interallié,1965,Alain Bosquet,La Confession mexicaine,Grasset
Interallié,1966,Kléber Haedens,L'été finit sous les tilleuls,Grasset
Interallié,1967,Yvonne Baby,Oui l'espoir,Grasset
Interallié,1968,Christine de Rivoyre,Le Petit Matin,Grasset
Interallié,1969,Pierre Schoendoerffer,L'Adieu au roi,Grasset
Interallié,1970,Michel Déon,Les Poneys sauvages,Gallimard
Interallié,1971,Pierre Rouanet,Castell,Grasset
Interallié,1972,Georges Walter,Des vols de Vanessa,Grasset
Interallié,1973,Lucien Bodard,Monsieur le Consul,Grasset
Interallié,1974,René Mauriès,Le Cap de la Gitane,Fayard
Interallié,1975,Voldemar Lestienne,L'Amant de poche,Grasset
Interallié,1976,Raphaëlle Billetdoux,Prends garde à la douceur des choses,Le Seuil
Interallié,1977,Jean-Marie Rouart,Les Feux du pouvoir,Grasset
Interallié,1978,Jean-Didier Wolfromm,Diane Lanster,Grasset
Interallié,1979,François Cavanna,Les Russkoffs,Belfond
Interallié,1980,Christine Arnothy,Toutes les chances plus une,Grasset
Interallié,1981,Louis Nucera,Le Chemin de la Lanterne,Grasset
Interallié,1982,Éric Ollivier,L'Orphelin de mer... ou les Mémoires de monsieur Non,Denoël
Interallié,1983,Jacques Duquesne,Maria Vandamme,Grasset
Interallié,1984,Michèle Perrein,Les Cotonniers de Bassalane,Grasset
Interallié,1985,Serge Lentz,Vladimir Roubaïev,Robert Laffont
Interallié,1986,Philippe Labro,L'Étudiant étranger,Gallimard
Interallié,1987,Raoul Mille,Les Amants du paradis,Grasset
Interallié,1988,Bernard-Henri Lévy,Les Derniers Jours de Charles Baudelaire,Grasset
Interallié,1989,Alain Gerber,Le Verger du diable,Grasset
Interallié,1990,Bruno Bayon,Les Animals,Grasset
Interallié,1991,Sébastien Japrisot,Un long dimanche de fiançailles,Denoël
Interallié,1992,Dominique Bona,Malika,Mercure de France
Interallié,1993,Jean-Pierre Dufreigne,Le Dernier Amour d'Aramis ou les Vrais Mémoires du chevalier René d'Herblay,Grasset
Interallié,1994,Marc Trillard,Eldorado 51,Phébus
Interallié,1995,Franz-Olivier Giesbert,La Souille,Grasset
Interallié,1996,Eduardo Manet,Rhapsodie cubaine,Grasset
Interallié,1997,Éric Neuhoff,La Petite Française,Albin Michel
Interallié,1998,Gilles Martin-Chauffier,Les Corrompus,Grasset
Interallié,1999,Jean-Christophe Rufin,Les Causes perdues,Gallimard
Interallié,2000,Patrick Poivre d'Arvor,L'irrésolu,Albin Michel
Interallié,2001,Stéphane Denis,Sisters,Fayard
Interallié,2002,Gonzague Saint-Bris,Les vieillards de Brighton,Grasset
Interallié,2003,Frédéric Beigbeder,Windows on the World,Grasset
Interallié,2004,Florian Zeller,La fascination du pire,Flammarion
Interallié,2005,Michel Houellebecq,La possibilité d'une île,Fayard
Interallié,2006,Michel Schneider,"Marilyn, dernières séances",Grasset
Interallié,2007,Christophe Ono-Dit-Biot,Birmane,Plon
Interallié,2008,Serge Bramly,"Le Premier Principe, le second principe",JC Lattès
Interallié,2009,Yannick Haenel,Jan Karski,Gallimard
Interallié,2010,Jean-Michel Olivier,L'Amour nègre,Fallois
Interallié,2011,Morgan Sportes,"Tout, tout de suite",Fayard
Interallié,2012,Philippe Djian,« Oh... »,Gallimard
Interallié,2013,Nelly Alard,Moment d'un couple,Gallimard
Médicis,1958,Claude Ollier,La Mise en scène,Minuit
Médicis,1959,Claude Mauriac,Le Dîner en ville,Albin Michel
Médicis,1960,Henri Thomas,John Perkins,Gallimard
Médicis,1961,Philippe Sollers,Le Parc,Le Seuil
Médicis,1962,Colette Audry,Derrière la baignoire,Gallimard
Médicis,1963,Gérard Jarlot,Un chat qui aboie,Gallimard
Médicis,1964,Monique Wittig,L'Opoponax,Minuit
Médicis,1965,René-Victor Pilhes,La Rhubarbe,Le Seuil
Médicis,1966,Marie-Claire Blais,Une saison dans la vie d'Emmanuel,Grasset
Médicis,1967,Claude Simon,Histoire,Minuit
Médicis,1968,Elie Wiesel,Le Mendiant de Jérusalem,Le Seuil
Médicis,1969,Hélène Cixous,Dedans,Grasset
Médicis,1970,Camille Bourniquel,Sélinonte ou la Chambre impériale,Le Seuil
Médicis,1971,Pascal Lainé,L'Irrévolution,Gallimard
Médicis,1972,Maurice Clavel,Le Tiers des étoiles,Grasset
Médicis,1973,Tony Duvert,Paysage de fantaisie,Minuit
Médicis,1974,Dominique Fernandez,Porporino ou les Mystères de Naples,Grasset
Médicis,1975,Jacques Almira,Le Voyage à Naucratis,Gallimard
Médicis,1976,Marc Cholodenko,Les États du désert,Flammarion
Médicis,1977,Michel Butel,L'Autre Amour,Mercure de France
Médicis,1978,Georges Perec,La Vie mode d'emploi,Hachette
Médicis,1979,Claude Durand,La Nuit zoologique,Grasset
Médicis,1980,Jean-Luc Benoziglio,Cabinet-portrait,Le Seuil
Médicis,1981,François-Olivier Rousseau,L'Enfant d'Édouard,Mercure de France
Médicis,1982,Jean-François Josselin,L'Enfer et Cie,Grasset
Médicis,1983,Jean Echenoz,Cherokee,Minuit
Médicis,1984,Bernard-Henri Lévy,Le Diable en tête,Grasset
Médicis,1985,Michel Braudeau,Naissance d'une passion,Le Seuil
Médicis,1986,Pierre Combescot,Les Funérailles de la Sardine,Grasset
Médicis,1987,Pierre Mertens,Les Éblouissements,Le Seuil
Médicis,1988,Christiane Rochefort,La Porte du fond,Grasset
Médicis,1989,Serge Doubrovsky,Le Livre brisé,Grasset
Médicis,1990,Jean-Noël Pancrazi,Quartiers d'hiver,Gallimard
Médicis,1991,Yves Simon,La Dérive des sentiments,Grasset
Médicis,1992,Michel Rio,Tlacuilo,Le Seuil
Médicis,1993,Emmanuelle Bernheim,Sa Femme,Gallimard
Médicis,1994,Yves Berger,Immobile dans le courant du fleuve,Grasset
Médicis,1995,Vassilis Alexakis,La Langue maternelle,Le Seuil
Médicis,1995,Andreï Makine,Le Testament français,Mercure de France
Médicis,1996,(ex-aequo) Jacqueline Harpman,Orlanda,Grasset
Médicis,1996,(ex-aequo) Jean Rolin,L'Organisation,Gallimard
Médicis,1997,Philippe Le Guillou,Les sept noms du peintre,Gallimard
Médicis,1998,Homeric,Le Loup mongol,Grasset
Médicis,1999,Christian Oster,Mon grand appartement,Minuit
Médicis,2000,Yann Apperry,Diabolus in Musica,Grasset
Médicis,2001,Benoît Duteurtre,Le Voyage en France,Gallimard
Médicis,2002,Anne Garréta,Pas un jour,Grasset
Médicis,2003,Hubert Mingarelli,Quatre soldats,Le Seuil
Médicis,2004,Marie Nimier,La reine du silence,Gallimard
Médicis,2005,Jean-Philippe Toussaint,Fuir,Minuit
Médicis,2006,Sorj Chalandon,Une promesse,Grasset
Médicis,2007,Jean Hatzfeld,La stratégie des antilopes,Le Seuil
Médicis,2008,Jean-Marie Blas de Roblès,Là où les tigres sont chez eux,Zulma
Médicis,2009,Dany Laferrière,L'énigme du retour,Grasset
Médicis,2010,Maylis de Kerangal,Naissance d'un pont,Verticales
Médicis,2011,Mathieu Lindon,Ce qu'aimer veut dire,P.O.L.
Médicis,2012,Emmanuelle Pireyre,Féerie générale,L'Olivier
Médicis,2013,Marie Darrieussecq,Il faut beaucoup aimer les hommes,P.O.L.
Goncourt,1903,John-Antoine Nau,Force ennemie,La Plume
Goncourt,1904,Léon Frapié,La maternelle,Albin Michel
Goncourt,1905,Claude Farrère,Les civilisés,Flammarion
Goncourt,1906,Jérôme et Jean Tharaud,"Dingley, l'illustre écrivain",Plon
Goncourt,1907,Emile Moselly,Terres lorraines,Plon
Goncourt,1908,Francis de Miomandre,Ecrit sur l'eau,Emile-Paul
Goncourt,1909,Marius-Ary Leblond,En France,Fasquelle
Goncourt,1910,Louis Pergaud,De Goupil à Margot,Mercure de France
Goncourt,1911,Alphonse de Chateaubriant,Monsieur de Lourdines,Grasset
Goncourt,1912,André Savignon,Filles de Pluie,Grasset
Goncourt,1913,Marc Elder,Le peuple de la mer,Calmann-Lévy
Goncourt,1914,Adrien Bertrand,L'appel du sol,Calmann-Lévy
Goncourt,1915,René Benjamin,Gaspard,Fayard
Goncourt,1916,Henri Barbusse,Le feu,Flammarion
Goncourt,1917,Henri Malherbe,La flamme au poing,Albin Michel
Goncourt,1918,Georges Duhamel,Civilisation,Mercure de France
Goncourt,1919,Marcel Proust,A l'ombre des jeunes filles en fleurs,Gallimard
Goncourt,1920,Ernest Pérochon,Nêne,Clouzot
Goncourt,1921,René Maran,Batouala,Albin Michel
Goncourt,1922,Henri Béraud,Le vitriol de lune et Le Martyre de l'obèse,Albin Michel
Goncourt,1923,Lucien Fabre,Rabevel ou le mal des ardents,Gallimard
Goncourt,1924,Thierry Sandre,Le chèvrefeuille,Gallimard
Goncourt,1925,Maurice Genevoix,Raboliot,Grasset
Goncourt,1926,Henry Deberly,Le supplice de Phèdre,Gallimard
Goncourt,1927,Maurice Bedel,"Jérôme, 60° latitude nord",Gallimard
Goncourt,1928,Maurice Constantin-Weyer,Un homme se penche sur son passé,Rieder
Goncourt,1929,Marcel Arland,L'ordre,Gallimard
Goncourt,1930,Henri Fauconnier,Malaisie,Stock
Goncourt,1931,Jean Fayard,Mal d'amour,Fayard
Goncourt,1932,Guy Mazeline,Les loups,Gallimard
Goncourt,1933,André Malraux,La condition humaine,Gallimard
Goncourt,1934,Roger Vercel,Capitaine Conan,Albin Michel
Goncourt,1935,Joseph Peyré,Sang et Lumière,Grasset
Goncourt,1936,Maxence Van der Meersch,L'empreinte de Dieu,Albin Michel
Goncourt,1937,Charles Plisnier,Faux-passeports,Corrêa
Goncourt,1938,Henri Troyat,L'araigne,Plon
Goncourt,1939,Philippe Hériat,Les enfants gâtés,Gallimard
Goncourt,1940,Francis Ambrière,Les grandes vacances,Nouvelle France
Goncourt,1941,Henri Pourrat,Vent de Mars,Gallimard
Goncourt,1942,Marc Bernard,Pareils à des enfants,Gallimard
Goncourt,1943,Marius Grout,Passage de l'homme,Gallimard
Goncourt,1944,Elsa Triolet,Le premier accroc coûte deux cents francs,Gallimard
Goncourt,1945,Jean-Louis Bory,Mon village à l'heure allemande,Flammarion
Goncourt,1946,Jean-Jacques Gautier,Histoire d'un fait divers,Julliard
Goncourt,1947,Jean-Louis Curtis,Les forêts de la nuit,Julliard
Goncourt,1948,Maurice Druon,Les grandes familles,Julliard
Goncourt,1949,Robert Merle,Week-end à Zuydcoote,Gallimard
Goncourt,1950,Paul Colin,Les jeux sauvages,Gallimard
Goncourt,1951,Julien Gracq,Le rivage des Syrtes,J.Corti
Goncourt,1952,Beatrix Beck,"Léon Morin, prêtre",Gallimard
Goncourt,1953,Pierre Gascar,Les Bêtes Le temps des morts,Gallimard
Goncourt,1954,Simone de Beauvoir,Les Mandarins,Gallimard
Goncourt,1955,Roger Ikor,Les eaux mêlées (T.II Les fils d'Avrom),Albin Michel
Goncourt,1956,Romain Gary,Les racines du Ciel,Gallimard
Goncourt,1957,Roger Vailland,LaLoi,Gallimard
Goncourt,1958,Francis Walder,Saint-Germain ou la négociation,Gallimard
Goncourt,1959,André Schwart-Bart,Le dernier des justes,Le Seuil
Goncourt,1960,Prix non décerné,Prix non décerné,Prix non décerné
Goncourt,1961,Jean Cau,La pitié de Dieu,Gallimard
Goncourt,1962,Anna Langfus,Les bagages de sable,Gallimard
Goncourt,1963,Armand Lanoux,Quand la mer se retire,Julliard
Goncourt,1964,Georges Conchon,L'état sauvage,Albin Michel
Goncourt,1965,Jacques Borel,L'adoration,Gallimard
Goncourt,1966,Edmonde Charles-Roux,Oublier Palerme,Grasset
Goncourt,1967,André Pieyre de Mandiargues,LaMarge,Gallimard
Goncourt,1968,Bernard Clavel,Les fruits de l'hiver,Robert Laffont
Goncourt,1969,Félicien Marceau,Creezy,Gallimard
Goncourt,1970,Michel Tournier,Le roi des Aulnes,Gallimard
Goncourt,1971,Jacques Laurent,Les Bétises,Grasset
Goncourt,1972,Jean Carrière,L'Epervier de Maheux,J-J. Pauvert
Goncourt,1973,Jacques Chessex,L'ogre,Grasset
Goncourt,1974,Pascal Laîné,La dentellière,Gallimard
Goncourt,1975,Emile Ajar,La vie devant soi,Mercure de France
Goncourt,1976,Patrick Grainville,Les Flamboyants,Le Seuil
Goncourt,1977,Didier Decoin,John l'Enfer,Le Seuil
Goncourt,1978,Patrick Modiano,Rue des boutiques obscures,Gallimard
Goncourt,1979,Antonine Maillet,Pélagie la charette,Grasset
Goncourt,1980,Yves Navarre,Le jardin d'acclimatation,Flammarion
Goncourt,1981,Lucien Bodard,Anne-Marie,Grasset
Goncourt,1982,Dominique Fernandez,Dans la main de l'ange,Grasset
Goncourt,1983,Fréderick Tristan,Les Egarés,Balland
Goncourt,1984,Marguerite Duras,L'amant,Minuit
Goncourt,1985,Yann Quéffelec,Les noces barbares,Gallimard
Goncourt,1986,Michel Host,Valet de nuit,Grasset
Goncourt,1987,Tahar Ben Jelloun,La nuit sacrée,Le Seuil
Goncourt,1988,Erik Orsenna,L'exposition coloniale,Le Seuil
Goncourt,1989,Jean Vautrin,Un grand pas vers le Bon Dieu,Grasset
Goncourt,1990,Jean Rouaud,Les champs d'honneur,Minuit
Goncourt,1991,Pierre Combescot,Les filles du calvaire,Grasset
Goncourt,1992,Patrick Chamoiseau,Texaco,Gallimard
Goncourt,1993,Amin Maalouf,Le rocher de Tanios,Grasset
Goncourt,1994,Didier Van Cauwelaert,Un aller simple,Albin Michel
Goncourt,1995,Andreï Makine,Le Testament français,Mercure de France
Goncourt,1996,Pascale Roze,Le Chasseur zéro,Albin Michel
Goncourt,1997,Patrick Rambaud,La Bataille,Grasset
Goncourt,1998,Paule Constant,Confidence pour confidence,Gallimard
Goncourt,1999,Jean Echenoz,Je m'en vais,Minuit
Goncourt,2000,Jean-Jacques Schuhl,Ingrid Caven,Gallimard
Goncourt,2001,Jean-Christophe Rufin,Rouge Brésil,Gallimard
Goncourt,2002,Pascal Quignard,Les ombres errantes,Grasset
Goncourt,2003,Jacques-Pierre Amette,La maîtresse de Brecht,Albin Michel
Goncourt,2004,Laurent Gaudé,Le soleil des Scorta,Actes Sud
Goncourt,2005,François Weyergans,Trois jours chez ma mère,Grasset
Goncourt,2006,Jonathan Littell,Les Bienveillantes,Gallimard
Goncourt,2007,Gilles Leroy,Alabama Song,Mercure de France
Goncourt,2008,Atiq Rahimi,Syngué Sabour. Pierre de Patience,P.O.L.
Goncourt,2009,Marie NDiaye,Trois Femmes puissantes,Gallimard
Goncourt,2010,Michel Houellebecq,La Carte et le Territoire,Flammarion
Goncourt,2011,Alexis Jenni,L'Art français de la guerre,Gallimard
Goncourt,2012,Jérôme Ferrari,Le sermon sur la chute de Rome,Actes Sud
Goncourt,2013,Pierre Lemaître,Au revoir là-haut,Albin Michel
France Inter,1975,Catherine d'Etchéa,Des demeures et des gens,La Table Ronde
France Inter,1976,Jacques Perry,Le Ravenala ou l'Arbre du voyageur,Albin Michel
France Inter,1977,Agustin Gómez-Arcos,Ana non,Stock
France Inter,1978,Daniel Boulanger,L'Enfant de Bohème,Gallimard
France Inter,1979,Béatrix Beck,La Décharge,Le Sagittaire
France Inter,1980,Elie Wiesel,Le Testament d'un poète juif assassiné,Le Seuil
France Inter,1981,Marguerite Gurgand,Les Demoiselles de Beaumoreau,Mazarine
France Inter,1982,Marcel Schneider,La Lumière du Nord,Grasset
France Inter,1983,Hortense Dufour,Le Bouchot,Grasset
France Inter,1984,Marek Halter,La Mémoire d'Abraham,Robert Laffont
France Inter,1985,Jean-Jacques Brochier,Un cauchemar,Albin Michel
France Inter,1986,René Belletto,L'Enfer,P.O.L.
France Inter,1987,Jean Raspail,Qui se souvient des hommes...,Robert Laffont
France Inter,1988,François Salvaing,Misayre ! Misayre !,Balland
France Inter,1989,Philippe Hadengue,Petite Chronique des gens de nuit dans un port de l'Atlantique Nord,Maren Sell
France Inter,1990,Daniel Pennac,La Petite Marchande de prose,Gallimard
France Inter,1991,Nina Bouraoui,La Voyeuse interdite,Gallimard
France Inter,1992,Agota Kristof,Le Troisième Mensonge,Le Seuil
France Inter,1993,Frédéric Boyer,Des choses idiotes et douces,P.O.L.
France Inter,1994,Robert Bober,Quoi de neuf sur la guerre ?,P.O.L.
France Inter,1995,Jean-Noël Pancrazi,Madame Arnoul,Gallimard
France Inter,1996,Agnès Desarthe,Un secret sans importance,L'Olivier
France Inter,1997,Nancy Huston,Instruments des ténèbres,Actes Sud
France Inter,1998,Martin Winckler,La Maladie de Sachs,P.O.L.
France Inter,1999,Ahmadou Kourouma,En attendant le vote des bêtes sauvages,Le Seuil
France Inter,2000,Antoine Volodine,Des anges mineurs,Le Seuil
France Inter,2001,Laurent Mauvignier,Apprendre à finir,Minuit
France Inter,2002,Christian Gailly,Un soir au club,Minuit
France Inter,2003,Pierre Péju,La Petite Chartreuse,Gallimard
France Inter,2004,Patrick Lapeyre,L'Homme-sœur,P.O.L.
France Inter,2005,Joël Egloff,L'Étourdissement,Buchet-Chastel
France Inter,2006,Jean-Baptiste Harang,La Chambre de la Stella,Grasset
France Inter,2007,François Vallejo,Ouest,Viviane Hamy
France Inter,2008,Henry Bauchau,Le Boulevard périphérique,Actes Sud
France Inter,2009,Mathias Enard,Zone,Actes Sud
France Inter,2010,Cloé Korman,Les Hommes-couleurs,Le Seuil
France Inter,2011,Olivia Rosenthal,Que font les rennes après Noël ?,Verticales
France Inter,2012,Nathalie Léger,Supplément à la vie de Barbara Loden,P.O.L.
France Inter,2013,Alice Zeniter,Sombre Dimanche,Albin Michel
Décembre,1999,Claude Askolovitch,Voyage au Bout de la France,Grasset
Décembre,2000,Anthony Palou,Camille,Bartillat
Décembre,2001,Chloé Delaume,Le Cri du Sablier,Leo Scheer/Farrago
Décembre,2002,Pierre Michon,Le Corps du Roi,Verdier
Décembre,2002,Pierre Michon,Abbés,Verdier
Décembre,2003,Régis Jauffret,"Univers, Univers",Verticales
Décembre,2004,Philippe Forest,Sarinagara,Gallimard
Décembre,2005,Charles Dantzig,Dictionnaire égoïste de la littérature française,Grasset
Décembre,2006,Pierre Guyotat,Coma,Mercure de France
Décembre,2007,Yannick Haenel,Cercle,Gallimard
Décembre,2008,Mathias Enard,Zone,Actes Sud
Décembre,2009,Jean-Philippe Toussaint,La Vérité sur Marie,Minuit
Décembre,2010,Frédéric Schiffter,Philosophie Sentimentale,Flammarion
Décembre,2011,(ex-aequo) Jean-Christophe Bailly,Le Dépaysement. Voyages en France,Le Seuil
Décembre,2011,(ex-aequo) Olivier Frébourg,Gaston et Gustave,Mercure de France
Décembre,2012,Mathieu Riboulet,Les oeuvres de miséricorde,Verdier
Décembre,2013,Maël Rénouard,La réforme de l'opéra de Pékin,Rivages
Elle,1970,Arlette Grebel,"Ce soir, Tania...",Gallimard
Elle,1971,Michèle Perrein,La Chineuse,Julliard
Elle,1972,Elvire de Brissac,Un long mois de septembre,Grasset
Elle,1973,Simone Schwarz-Bart,Pluie et vent sur Télumée Miracle,Le Seuil
Elle,1974,Max Gallo,Un pas vers la mer,Robert Laffont
Elle,1975,Françoise Lefèvre,La Première Habitude,J-J. Pauvert
Elle,1976,Roger Boussinot,Vie et mort de Jean Chalosse,Robert Laffont
Elle,1977,Guyette Lyr,La Fuite en douce,Mercure de France
Elle,1978,Hortense Dufour,La Marie-Marraine,Grasset
Elle,1979,Jeanne Bourin,La Chambre des dames,La Table Ronde
Elle,1980,Marie-Thérèse Humbert,À l'autre bout de moi,Stock
Elle,1981,José-André Lacour,Le Rire de Caïn,La Table Ronde
Elle,1982,Clarisse Nicoïdski,Couvre-Feux,Ramsay
Elle,1983,Paul Savatier,Le Photographe,Gallimard
Elle,1984,Michel Ragon,Les Mouchoirs rouges de Cholet,Albin Michel
Elle,1985,Frédéric Rey,La Haute Saison,Flammarion
Elle,1986,François-Marie Banier,"Balthazar, fils de famille",Gallimard
Elle,1987,Jack-Alain Léger,Wanderweg,Gallimard
Elle,1988,Kenizé Mourad,De la part de la princesse morte,Robert Laffont
Elle,1989,Charles Juliet,L'Année de l'éveil,P.O.L.
Elle,1990,Yves Beauchemin,Juliette Pomerleau,Fallois
Elle,1991,Claire Bonnafé,Le Guetteur immobile,Balland
Elle,1992,Nicolas Bréhal,Sonate au clair de lune,Mercure de France
Elle,1993,Bernard Werber,Le Jour des fourmis,Albin Michel
Elle,1994,Gisèle Pineau,La grande drive des esprits,Le Serpent à plumes
Elle,1995,Paulo Coelho,L'Alchimiste,Anne Carrière
Elle,1996,Daniel Picouly,Le Champ de personne,Flammarion
Elle,1997,Elisabeth Gille,Un paysage de cendres,Le Seuil
Elle,1998,Tonino Benacquista,Saga,Gallimard
Elle,1999,Nancy Huston,L'Empreinte de l'ange,Actes Sud
Elle,2000,Catherine Cusset,Le Problème avec Jane,Gallimard
Elle,2001,Eric-Emmanuel Schmitt,L'Evangile selon Pilate,Albin Michel
Elle,2002,Wladyslaw Szpilman,Le Pianiste,Robert Laffont
Elle,2003,William Boyd,A livre ouvert,Le Seuil
Elle,2004,Philippe Claudel,Les âmes grises,Stock
Elle,2005,Philippe Grimbert,Un secret,Grasset
Elle,2006,Khaled Hosseini,Les cerfs-volants de Kaboul,Belfond
Elle,2007,Duong Thu Huong,Terre des oublis,Sabine Wespieser
Elle,2008,Marie Sizun  ,La femme de l'Allemand,Arléa
Elle,2009,Claudie Gallay,Les Déferlantes,Le Rouergue
Elle,2010,Véronique Ovaldé,Ce que je sais de Vera Candida,L'Olivier
Elle,2011,Kathryn Stockett,La couleur des sentiments,Jacqueline Chambon
Elle,2012,Delphine de Vigan,Rien ne s'oppose à la nuit,JC Lattès
Elle,2013,Robert Goolrick,Arrive un vagabond,Anne Carrière
